Warehouse,Job Function,ID,Haptic Group,Baseline File Count,Baseline Average Lift Rate,Baseline Average Max Forward Bend,Baseline Average Max Tilt Velocity,Baseline Average Twist Velocity,Baseline Average Safety Score,Intervention File Count,Intervention Average Lift Rate,Intervention Average Max Forward Bend,Intervention Average Max Tilt Velocity,Intervention Average Twist Velocity,Intervention Average Safety Score
Albany,Package Handler,A8R948454228,3 bends in 8 minute window over 65 degrees,9,128.9,83.5,82.2,24.5,63.9,13,127,84.5,85.2,25,62.6
Albany,Package Handler,A8R948434888,3 bends in 8 minute window over 65 degrees,4,128,85.5,78.7,20.3,67,3,105.4,73.3,73,20.1,71.8
Albany,Package Handler,A8R969411219,2 bends in 5 minute window over 65 degrees,8,127.7,78.9,70.2,20.3,70.5,,,,,,
Albany,Package Handler,A8R948443990,2 bends in 5 minute window over 65 degrees,7,127.5,90.3,80.7,24.3,63.4,9,63,79.7,76,16.5,71.8
Albany,Package Handler,A8R948422032,2 bends in 10 minute window over 65 degrees,8,126.9,78.8,83,25.3,64.3,5,152.3,72.4,82.5,28.3,63.3
Albany,Package Handler,A8R948428579,2 bends in 5 minute window over 65 degrees,15,126.8,76.4,80.9,22.7,66.8,8,90.9,59.6,64.8,22.5,75.4
Albany,Package Handler,A8R948436868,3 bends in 8 minute window over 65 degrees,5,125.1,90.1,82.2,23.6,63.7,1,109.1,95.2,89.5,23.2,61
Albany,Package Handler,A8R948411793,2 bends in 10 minute window over 65 degrees,1,125,90.3,93.3,21.6,61,3,73,72.4,70.5,19.3,73.7
Albany,Package Handler,A8R948406595,3 bends in 8 minute window over 65 degrees,4,124.8,78.5,66.6,26.1,69.4,7,48.4,49.3,51.6,25.2,80.1
Albany,Package Handler,A8R976394849,2 bends in 10 minute window over 65 degrees,19,124.5,93,81,19.2,65.6,28,71.4,82,81,13.5,71
Albany,Package Handler,A8R976969352,2 bends in 5 minute window over 65 degrees,11,124.4,85.7,84,22.7,64,23,122.5,85.8,89.6,23.8,61.7
Albany,Package Handler,A8R948453104,3 bends in 8 minute window over 65 degrees,16,124.1,92.5,70.6,19.6,68.8,11,130.9,96.5,75.5,19.9,66.3
Albany,Package Handler,A8R969937652,3 bends in 8 minute window over 65 degrees,23,123.9,78.3,71.9,23.1,69.2,24,123,74.9,71.4,23.5,69.7
Albany,Package Handler,A8R964491962,2 bends in 10 minute window over 65 degrees,9,123,99,86.1,22.7,61.2,,,,,,
Albany,Package Handler,A8R963380252,2 bends in 10 minute window over 65 degrees,14,122.9,89.2,93.7,23.6,59.9,3,127.1,87.2,92.5,24,60.4
Albany,Package Handler,A8R976116839,2 bends in 10 minute window over 65 degrees,15,121.7,87.4,77.6,19.9,67.4,22,120,87.4,82.6,19.6,66
Albany,Package Handler,A8R948468863,2 bends in 10 minute window over 65 degrees,20,121.3,84,68.8,22.2,69.5,18,120.9,84,67.8,21.8,70
Albany,Package Handler,A8R948439366,3 bends in 8 minute window over 65 degrees,2,121.2,107.4,83.6,20.2,61.8,,,,,,
Albany,Package Handler,A8R964660982,3 bends in 8 minute window over 65 degrees,2,121.1,89.4,85.8,22.5,62.9,,,,,,
Albany,Package Handler,A8R948423841,2 bends in 5 minute window over 65 degrees,14,121,88.1,76.7,22.3,66.2,6,124.8,81.2,76.6,23.5,66.9
Albany,Package Handler,A8R958047412,2 bends in 5 minute window over 65 degrees,6,120.9,91.1,83.1,21,64.7,,,,,,
Albany,Package Handler,A8R972260329,2 bends in 5 minute window over 65 degrees,6,120.5,93.7,76.3,23,64.7,6,118.4,92.2,80.9,22.9,63.8
